x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
58,Colorado,4,68,3.5,32,62.2,63.8,70.9,7.1,25.4,41.2,16.8,6.9,20.7,80.5,13,6.3,63909,85915,33563,40487,51628,41690,3.5,2,8.4,7.6,25,11.2,70.4,8.1,2015,60598.86754151932,2.842349075563133,0
110,Colorado,3.8,68,3.2,32,62.2,62.8,72.4,7.9,25,41.7,17.2,6.7,20.9,80.2,13.3,6.4,65685,88246,34542,40936,51264,43206,3.5,2,8.1,7,22.9,10.9,70.2,7.5,2016,60911.74282681836,0.5163054987532112,0
162,Colorado,3.6,68.2,2.8,31.8,62.6,64.2,71.5,8.5,25.9,41.9,17,6.9,20.8,80.4,13.3,6.1,69117,92465,36345,44139,54869,44733,3.5,2,7.6,6.7,21.6,10.2,70,7.5,2017,62343.395661461014,2.3503724704004414,0
214,Colorado,3.1,68.7,2.7,31.3,63.2,65,72.5,8.6,25.9,43,16.3,6.5,21,80.6,13.3,5.9,71953,96218,38057,45323,56377,46498,3.4,1.9,7.2,6.2,20.5,9.3,70.7,7.5,2018,64102.96016169474,2.8223751394431007,0
266,Colorado,3.1,68.5,2.5,31.5,62.9,64,72.2,9.1,26.5,45.1,16.8,6.8,21.8,79.5,13.9,6.3,77127,103518,41053,50092,60334,48258,3.4,2,6.9,5.8,19.6,9.3,70.9,8,2019,66636.54300800593,3.952364820470722,0
318,Colorado,3.2,68.1,3.6,31.9,62.8,64.8,73.9,23.7,25,46.9,14.7,7,21.8,79.4,13.9,6.5,82254,110650,44617,51542,65217,54635,3.4,3.2,8.4,6.2,20.4,9.5,70.1,8,2021,69880.20022124503,4.867685307218594,1
370,Colorado,3.4,68.9,2.4,31.1,63.6,67.1,74.2,21.2,25,48,14.6,7.2,21.1,79.8,14,6.1,89302,119039,49071,57553,70519,56823,3.1,2.2,8.5,5.8,18.2,9.2,70.5,7.1,2022,72193.82730075315,3.3108478112298334,1
422,Colorado,3.4,69,2.6,31,64.5,70.3,76.3,19.9,25.5,49.3,15.2,6.7,21.8,79.3,14.6,5.9,92911,124578,51768,60009,72460,60630,2.9,2.1,9,5.9,17.9,8.9,70.3,6.7,2023,74459.96779562399,3.138967110623314,1
474,Colorado,3.5,68.7,2.9,31.3,63.5,68.1,75.7,19.9,25.7,50,15,6.7,22.4,78.1,15.5,6.1,97113,131072,54531,62537,77210,65542,3.1,2.2,8.9,6.2,19.3,9.2,70.8,7.9,2024,74950.04593803258,0.6581766779079734,1
7,Connecticut,3,67.2,5.3,32.8,62.4,70.8,75.2,4.6,25.4,42.5,17.5,10.6,26.2,80.7,13,6.1,70048,100948,39373,39839,61385,50706,4.4,3.5,12.8,7.5,22.9,10,71.2,6.9,2014,72477.13030324857,NA,0
